,createdAt,territories,departement
3701,2021-11,['76'],76
3702,2021-11,['78'],78
3703,2021-11,['78'],78
3704,2021-11,['78'],78
3705,2021-11,['33'],33
3706,2021-11,['78'],78
3707,2021-11,['44'],44
3708,2021-11,['13'],13
3709,2021-11,['33'],33
3710,2021-11,['33'],33
3711,2021-11,['63'],63
3712,2021-11,['36'],36
3713,2021-11,['77'],77
3714,2021-11,['95'],95
3715,2021-11,['78'],78
3716,2021-11,['77'],77
3717,2021-11,['33'],33
3718,2021-11,['34'],34
3719,2021-11,['78'],78
3720,2021-11,['93'],93
3721,2021-11,['93'],93
3722,2021-11,['93'],93
3723,2021-11,['93'],93
3724,2021-11,['93'],93
3725,2021-11,['93'],93
3726,2021-11,['93'],93
3727,2021-11,['93'],93
3728,2021-11,['93'],93
3729,2021-11,['93'],93
3730,2021-11,['93'],93
3731,2021-11,['93'],93
3732,2021-11,['93'],93
3733,2021-11,['93'],93
3734,2021-11,['93'],93
3735,2021-11,['93'],93
3736,2021-11,['93'],93
3737,2021-11,['93'],93
3738,2021-11,['93'],93
3739,2021-11,['93'],93
3740,2021-11,['93'],93
3741,2021-11,['93'],93
3742,2021-11,['93'],93
3743,2021-11,['93'],93
3744,2021-11,['93'],93
3745,2021-11,['93'],93
3746,2021-11,['93'],93
3747,2021-11,['93'],93
3748,2021-11,['93'],93
3749,2021-11,['93'],93
3750,2021-11,['93'],93
3751,2021-11,['93'],93
3752,2021-11,['93'],93
3753,2021-11,['93'],93
3754,2021-11,['93'],93
3755,2021-11,['93'],93
3756,2021-11,['93'],93
3757,2021-11,['93'],93
3758,2021-11,['13'],13
3759,2021-11,['75'],75
3760,2021-11,['44'],44
3761,2021-11,['75'],75
3762,2021-11,['36'],36
