,departement,statut,Nb_services,territory
1072,Paris,1,1,75
1073,Paris,1,1,75
1074,Paris,1,1,75
1075,Paris,1,1,75
1076,Paris,1,1,75
1077,Paris,1,1,75
1078,Paris,1,1,75
1079,Paris,1,1,75
1080,Paris,1,1,75
1081,Paris,1,1,75
1082,Paris,1,1,75
1083,Paris,1,1,75
1084,Paris,1,1,75
1085,Paris,1,1,75
1086,Paris,1,1,75
1087,Paris,1,1,75
1088,Paris,1,1,75
1089,Paris,1,1,75
1090,Paris,1,1,75
1091,Paris,1,1,75
1092,Paris,1,1,75
1093,Paris,1,1,75
1094,Paris,1,1,75
1095,Paris,1,1,75
1096,Seine-Saint-Denis,1,1,93
1097,Paris,1,1,75
1098,Paris,1,1,75
1099,Paris,1,1,75
1100,Paris,1,1,75
1101,Paris,1,1,75
1102,Paris,1,1,75
1103,Paris,1,1,75
1104,Paris,1,1,75
1105,Paris,1,1,75
1106,Paris,1,1,75
1107,Paris,1,1,75
1108,Paris,1,1,75
1109,Paris,1,1,75
1110,Paris,1,1,75
1111,Paris,1,1,75
1112,Paris,1,1,75
1113,Paris,1,1,75
1114,Paris,1,1,75
1115,Paris,1,1,75
1116,Paris,1,1,75
1117,Paris,1,1,75
1118,Paris,1,1,75
1119,Paris,1,1,75
1120,Paris,1,1,75
1121,Paris,1,1,75
1122,Paris,1,1,75
1123,Paris,1,1,75
1124,Paris,1,1,75
1125,Paris,1,1,75
1126,Paris,1,1,75
1127,Paris,1,1,75
1128,Paris,1,1,75
1129,Paris,1,1,75
1130,Paris,1,1,75
1131,Paris,1,1,75
1132,Paris,1,1,75
1133,Paris,1,1,75
1134,Paris,1,1,75
1135,Paris,1,1,75
1136,Paris,1,1,75
